scenario,n_rff,pi_clip,estimand,method,n_reps,bias,bias_mcse,mean_abs_error,median_abs_error,rmse,coverage,coverage_mcse,coverage_wilson_lower,coverage_wilson_upper,nominal_coverage,mean_ci_width,empirical_sd_posterior_mean,mean_posterior_sd,empirical_to_posterior_sd_ratio
strong_homogeneous,200,0.02,population_ate_bb,rff_meanfield_vi,200,-0.025053791656898677,0.009911275601538594,0.1152817313182467,0.10277891120355176,0.14204272562249878,1.0,0.0,0.9811546736227335,1.0,0.95,2.121380211669004,0.14016660376113435,0.5422841265701145,0.258474472870287
strong_homogeneous,200,0.02,population_ate_bb,rff_meanfield_vi_onestep_logistic_pi,200,0.00030484063054928343,0.010218984614996202,0.11664530674176894,0.0926073807852365,0.14415684025933118,0.975,0.011039701082909813,0.942821659593358,0.9892752803482386,0.95,0.6092350913298837,0.1445182663620963,0.15522337124900984,0.9310341941372967
strong_homogeneous,200,0.02,sample_ate,rff_full_gaussian,200,-0.026063666560662713,0.009938619566417293,0.1160138791255938,0.10551881654823925,0.14260354249770224,0.95,0.015411035007422448,0.9104218518612239,0.972617354399236,0.95,0.5165761643963649,0.14055330582093944,0.1322018567034173,1.0631719502719077
strong_homogeneous,200,0.02,sample_ate,rff_full_gaussian_onestep_logistic_pi,200,0.0005760761494053967,0.010259896664954943,0.1170091140826766,0.09563162474955239,0.14473479989023053,0.955,0.014658615214269054,0.9167032959981803,0.976147456998507,0.95,0.545159577550396,0.14509685012125767,0.1391621538779616,1.0426459067923057
strong_homogeneous,200,0.02,sample_ate,rff_meanfield_vi,200,-0.025062793648773597,0.009916666191890971,0.1152696953698861,0.10245911968356858,0.14211916489129214,1.0,0.0,0.9811546736227335,1.0,0.95,2.1157095021198047,0.14024283822098965,0.5408535182369746,0.2592991142558166
strong_homogeneous,200,0.02,sample_ate,rff_meanfield_vi_onestep_logistic_pi,200,0.0006250568552017055,0.010254014715018593,0.11690272712043505,0.09374936126050953,0.14465202879137226,0.975,0.011039701082909813,0.942821659593358,0.9892752803482386,0.95,0.6106527476176481,0.14501366678752586,0.15529632374838329,0.9337868617062838
weak_heterogeneous,200,0.02,population_ate_bb,rff_full_gaussian,200,0.016337061732387016,0.011857720506798338,0.13456362785109557,0.11670149427491355,0.1680696319205217,0.935,0.01743201078476031,0.8919809207009312,0.961623645350847,0.95,0.6048148553197721,0.1676934915954378,0.15501700747153965,1.0817747957508823
weak_heterogeneous,200,0.02,population_ate_bb,rff_full_gaussian_onestep_logistic_pi,200,0.0307503964701468,0.012524753699825074,0.14532633476248502,0.11937150006786135,0.1793393667773094,0.955,0.014658615214269054,0.9167032959981803,0.976147456998507,0.95,0.6705251139185243,0.17712676547675218,0.17041090815788743,1.039409785391452
weak_heterogeneous,200,0.02,population_ate_bb,rff_meanfield_vi,200,0.018225618272138103,0.011902447391416859,0.1350586118326548,0.1169833404596814,0.16889095798350323,1.0,0.0,0.9811546736227335,1.0,0.95,2.0397693075228687,0.16832602526373988,0.520860203853326,0.3231692957504974
weak_heterogeneous,200,0.02,population_ate_bb,rff_meanfield_vi_onestep_logistic_pi,200,0.030562912968605586,0.012557557091383457,0.14576031397953113,0.11978216802567593,0.1797633094646797,0.965,0.012995191418367032,0.9295293884777092,0.9829444579914328,0.95,0.7501718065595315,0.17759067548908922,0.19028896760253672,0.9332683745493282
weak_heterogeneous,200,0.02,sample_ate,rff_full_gaussian,200,0.017389630567624294,0.011537143272159014,0.1308549070008254,0.11577211588768466,0.1636778193673808,0.92,0.019183326093250873,0.874010511732856,0.9501594141102401,0.95,0.587629541662314,0.1676522753148653,0.15028054852427178,1.1155953113106172
weak_heterogeneous,200,0.02,sample_ate,rff_full_gaussian_onestep_logistic_pi,200,0.03285885946405949,0.012189537594821671,0.1417089660256417,0.11964690966827934,0.17506594521384627,0.935,0.01743201078476031,0.8919809207009312,0.961623645350847,0.95,0.6575273066283336,0.17700173644374295,0.16757649581075626,1.05624440699387
weak_heterogeneous,200,0.02,sample_ate,rff_meanfield_vi,200,0.019349066411908776,0.011574568426902593,0.13152498571428473,0.11242309234862502,0.16442184341064142,1.0,0.0,0.9811546736227335,1.0,0.95,2.031432849168293,0.16817102048753865,0.518971928207779,0.3240464683095703
weak_heterogeneous,200,0.02,sample_ate,rff_meanfield_vi_onestep_logistic_pi,200,0.03288135641811037,0.012178599830483732,0.1416102800621436,0.11789725506111104,0.17491862128508628,0.965,0.012995191418367032,0.9295293884777092,0.9829444579914328,0.95,0.7439509036391649,0.17683554639732313,0.1892525197194675,0.9343893896865929
weak_homogeneous,200,0.02,population_ate_bb,rff_full_gaussian,200,-0.00017163473437324715,0.011276584268307462,0.12860529859047304,0.11165466847574756,0.15907588961803631,0.95,0.015411035007422448,0.9104218518612239,0.972617354399236,0.95,0.6006636283213779,0.159474984094835,0.15365873140621344,1.037851755220116
weak_homogeneous,200,0.02,population_ate_bb,rff_full_gaussian_onestep_logistic_pi,200,0.005953950082032149,0.01228629796327635,0.136473820922083,0.11582984299211097,0.17342179774301336,0.94,0.01679285562374667,0.8980683070423372,0.9653478057456681,0.95,0.6545579642711504,0.17375449211022348,0.166310144673745,1.044761836092935
weak_homogeneous,200,0.02,population_ate_bb,rff_meanfield_vi,200,-6.666870082153609e-05,0.011288433011758114,0.12868694682020337,0.11132862762666901,0.15924295807678526,1.0,0.0,0.9811546736227335,1.0,0.95,2.1387904933471686,0.1596425506316849,0.5466788840659761,0.29202252965091363
weak_homogeneous,200,0.02,population_ate_bb,rff_meanfield_vi_onestep_logistic_pi,200,0.005908566897497411,0.012294351561451313,0.13668973525427439,0.1162631902456146,0.17353378963699748,0.96,0.013856406460551024,0.923067931799067,0.9795943679338476,0.95,0.734760687585537,0.17386838718787284,0.18680058418379114,0.9307700398667145
weak_homogeneous,200,0.02,sample_ate,rff_full_gaussian,200,-0.0001308628172793691,0.011280982355345723,0.12863711070083364,0.11142866231407955,0.15913789348392052,0.935,0.01743201078476031,0.8919809207009312,0.961623645350847,0.95,0.5845283127255143,0.15953718243821505,0.14977215673649322,1.065199206010649
weak_homogeneous,200,0.02,sample_ate,rff_full_gaussian_onestep_logistic_pi,200,0.005722030635564008,0.012321840060464315,0.13711412024660802,0.11633796825154336,0.17391510109030586,0.935,0.01743201078476031,0.8919809207009312,0.961623645350847,0.95,0.6457145113746574,0.17425713326900752,0.1644350560020247,1.0597322584720734
weak_homogeneous,200,0.02,sample_ate,rff_meanfield_vi,200,-7.762555331067178e-05,0.011287987965990513,0.12869734871698035,0.11118232176912135,0.15923668489853557,1.0,0.0,0.9811546736227335,1.0,0.95,2.133121759340361,0.1596362567340807,0.5451732322565442,0.2928174886234327
weak_homogeneous,200,0.02,sample_ate,rff_meanfield_vi_onestep_logistic_pi,200,0.00575362858274614,0.012313265524685098,0.13697803794120966,0.11617248472542169,0.17379525111540453,0.965,0.012995191418367032,0.9295293884777092,0.9829444579914328,0.95,0.7318780976214527,0.17413587102110734,0.18616040090609012,0.9354076923639166
